iter	Logloss
0	0.6546779531
1	0.6252022408
2	0.6035780796
3	0.5874373045
4	0.5742605656
5	0.564999026
6	0.5572045788
7	0.5496253323
8	0.5444432945
9	0.5399006183
10	0.5357775401
11	0.5322816531
12	0.5293041588
13	0.5262460235
14	0.5228823818
15	0.521053001
16	0.5187505217
17	0.5175774424
18	0.5161314867
19	0.5145933265
20	0.5129101185
21	0.5116792263
22	0.5102787727
23	0.5089530506
24	0.5079472617
25	0.5068845377
26	0.5062776993
27	0.5050876215
28	0.5042348462
29	0.5035279792
30	0.5023934585
31	0.5015748651
32	0.5015663733
33	0.5011495254
34	0.5003547731
35	0.4996458548
36	0.4989564063
37	0.4985047036
38	0.4980195483
39	0.4972547604
40	0.4958821253
41	0.4952182829
42	0.4947057264
43	0.4941325717
44	0.4935385612
45	0.4927117898
46	0.4918354336
47	0.4915454212
48	0.4913498014
49	0.4905683637
50	0.490353795
51	0.4889835993
52	0.488318384
53	0.4875549837
54	0.4855572407
55	0.4848809065
56	0.4847731663
57	0.4842956428
58	0.4833281348
59	0.4824803516
60	0.4814161981
61	0.4812345398
62	0.4806115273
63	0.4795939353
64	0.4791224611
65	0.4782377025
66	0.4770600037
67	0.4763628641
68	0.4760895694
69	0.4752669429
70	0.4741422723
71	0.4734391301
72	0.4724618691
73	0.4720067172
74	0.4711989309
75	0.4703893178
76	0.4696295636
77	0.468306484
78	0.467085324
79	0.4662039308
80	0.4657033938
81	0.465035302
82	0.4645623661
83	0.4639940605
84	0.4635425468
85	0.4630132505
86	0.4622945461
87	0.4619939567
88	0.4616405651
89	0.4613118495
90	0.4601512725
91	0.4592420156
92	0.4590132241
93	0.4586550421
94	0.4578640653
95	0.4571077081
96	0.456033181
97	0.455654338
98	0.4555481465
99	0.4552055102
