iter	Passed	Remaining
0	62	9369
1	63	4702
2	64	3168
3	65	2395
4	66	1937
5	67	1630
6	68	1407
7	70	1243
8	70	1110
9	71	1007
10	72	921
11	73	845
12	74	784
13	75	735
14	76	688
15	77	644
16	77	610
17	79	585
18	80	556
19	81	531
20	82	508
21	83	487
22	85	472
23	86	454
24	87	437
25	88	421
26	89	407
27	90	393
28	91	381
29	92	369
30	93	358
31	94	348
32	95	338
33	96	329
34	97	320
35	98	310
36	99	303
37	99	294
38	100	287
39	101	280
40	102	273
41	104	269
42	106	264
43	107	259
44	108	253
45	109	248
46	110	242
47	111	237
48	112	232
49	113	227
50	114	222
51	115	217
52	116	213
53	117	209
54	118	205
55	119	201
56	120	196
57	121	192
58	122	188
59	123	185
60	124	182
61	125	178
62	126	175
63	128	172
64	129	169
65	129	165
66	130	161
67	131	158
68	132	155
69	133	152
70	134	150
71	135	147
72	136	144
73	137	141
74	138	138
75	139	136
76	140	133
77	142	131
78	143	128
79	144	126
80	144	123
81	145	120
82	146	118
83	147	116
84	148	113
85	150	111
86	151	109
87	154	108
88	155	106
89	156	104
90	157	102
91	158	99
92	159	97
93	160	95
94	161	93
95	162	91
96	163	89
97	164	87
98	166	85
99	166	83
100	168	81
101	169	79
102	170	77
103	171	75
104	173	74
105	174	72
106	175	70
107	176	68
108	177	66
109	179	65
110	180	63
111	181	61
112	182	59
113	183	57
114	184	56
115	185	54
116	186	52
117	187	50
118	188	49
119	189	47
120	190	45
121	192	44
122	193	42
123	194	40
124	195	39
125	196	37
126	197	35
127	198	34
128	199	32
129	200	30
130	202	29
131	202	27
132	204	26
133	205	24
134	206	22
135	207	21
136	208	19
137	209	18
138	210	16
139	211	15
140	212	13
141	213	12
142	214	10
143	215	8
144	216	7
145	217	5
146	218	4
147	219	2
148	220	1
149	221	0
