Y,umur_krt,jumlah_art,luas_lantai,jk_krt,status_kawin_krt,pendidikan_krt,pekerjaan_krt,keluhan_kesehatan,internet_krt,usaha_mikro,bansos,wilayah,status_bangunan,jenis_lantai,jenis_dinding,jenis_atap,sumber_air,penerangan,bahan_bakar,motor,laptop,kabupaten
1,78,1,20,1,2,3,2,5,1,5,5,2,3,6,1,3,9,4,10,5,5,1
1,48,1,20,1,2,13,2,5,1,5,5,2,3,6,1,3,9,4,10,1,5,1
1,74,1,20,1,2,3,3,5,1,5,5,2,1,5,3,3,9,4,10,1,5,1
1,47,1,20,1,2,13,2,5,1,5,5,2,1,5,3,3,9,4,10,1,5,1
1,41,1,21,1,2,8,3,5,1,5,5,2,1,7,6,3,9,4,10,1,5,1
1,44,1,48,1,2,3,3,5,1,5,5,2,1,7,6,3,9,3,10,1,5,1
1,73,1,24,1,2,3,2,5,1,5,5,2,1,5,3,3,10,4,10,5,5,1
1,77,1,24,1,2,3,3,5,1,5,5,2,1,5,3,3,9,4,10,5,5,1
1,32,1,24,1,2,13,2,5,1,5,5,2,1,5,3,3,9,4,10,1,5,1
0,58,1,15,1,2,3,2,5,1,5,5,2,1,8,3,3,10,4,10,1,5,1
1,45,1,150,1,2,8,3,5,1,1,5,2,1,6,1,3,10,1,4,1,5,1
1,49,1,40,1,2,8,3,5,1,5,5,2,1,6,3,3,8,1,4,1,5,1
0,70,2,48,1,2,3,2,5,1,5,5,2,1,6,3,3,8,1,4,1,5,1
1,38,1,96,1,2,13,2,5,1,1,5,2,1,6,1,3,7,1,4,1,5,1
1,47,1,20,1,2,3,2,5,1,5,5,2,3,8,3,3,8,3,10,1,5,1
1,64,1,30,1,2,13,2,5,1,5,5,2,1,5,3,3,8,4,10,1,5,1
1,42,1,24,1,3,3,3,5,1,5,5,2,3,7,6,3,9,4,10,1,5,1
0,43,1,32,1,2,13,20,5,1,5,5,2,3,6,3,3,7,1,4,1,5,1
1,43,1,24,1,2,3,3,5,1,5,5,2,1,7,6,3,8,4,10,1,5,1
0,38,1,60,2,2,8,2,5,1,5,5,2,1,6,1,3,8,1,4,1,5,1
0,58,1,42,1,2,3,3,1,1,5,5,2,1,6,1,3,7,1,4,1,5,1
0,53,1,460,1,2,8,20,5,1,1,5,2,1,2,1,3,7,1,3,1,5,1
0,55,1,112,1,2,3,3,5,1,5,5,2,1,2,1,3,7,1,4,1,5,1
0,54,1,60,2,3,3,3,1,1,5,5,2,2,6,1,3,7,2,4,5,5,1
0,54,2,70,1,2,13,1,5,1,1,5,2,1,2,1,3,7,1,4,1,5,1
0,63,1,105,2,3,3,15,1,1,1,5,2,3,6,3,3,7,1,4,1,5,1
1,27,0,144,1,1,21,21,1,1,5,5,2,3,6,3,3,7,1,0,1,5,1
0,49,1,208,1,2,13,13,5,1,5,5,2,1,6,1,3,7,1,4,1,5,1
0,54,1,99,1,2,13,3,1,1,5,5,2,1,2,1,3,7,1,4,1,5,1
1,29,1,91,1,2,13,20,5,1,5,5,2,3,6,1,3,4,1,4,1,5,1
0,37,1,98,1,2,13,3,5,1,1,5,2,1,6,1,3,7,1,4,1,5,1
0,45,1,48,1,2,13,3,5,1,5,5,2,3,6,1,3,7,1,10,1,5,1
