column,type,n_missing,n_unique
URUT,numeric,0,484
PSU,numeric,0,348
SSU,numeric,0,484
STRATA,numeric,0,21
WI1,numeric,0,348
WI2,numeric,0,484
R101,numeric,0,1
R102,numeric,0,11
R105,numeric,0,2
R401,numeric,0,8
R403,numeric,0,7
R404,numeric,0,4
R405,numeric,0,2
R406A,numeric,0,32
R406B,numeric,0,13
R406C,numeric,0,79
R407,numeric,0,78
R408,numeric,0,3
R409,numeric,0,26
R410,numeric,0,7
R501,numeric,0,5
R502,numeric,0,4
R503,numeric,0,7
R504,numeric,0,2
R506,numeric,0,5
R507,numeric,0,4
R508,numeric,0,4
R509,numeric,0,3
R601,numeric,0,14
R602,character,0,29
R603,numeric,26,6
R604,character,26,15
R605,numeric,0,5
R606,numeric,0,5
R606_A,character,499,2
R606_B,logical,500,1
R606_X,character,464,2
R607,numeric,0,3
R608,numeric,0,3
R609,numeric,0,3
R610,numeric,0,4
R611,numeric,0,3
R612,numeric,0,14
R613,numeric,0,8
R614,numeric,0,13
R615,numeric,0,4
R616,numeric,0,3
R617,numeric,0,7
R618,numeric,0,3
R619,numeric,0,4
R620,numeric,0,11
R621,numeric,0,7
R701,numeric,0,3
R702,numeric,0,3
R703_A,character,271,2
R703_B,character,421,2
R703_C,character,259,2
R703_D,character,343,2
R703_X,character,489,2
R704,numeric,0,5
R705,numeric,0,3
R706,numeric,0,19
R707,numeric,0,7
R708,numeric,0,44
R709,numeric,0,46
R801,numeric,0,2
R802,numeric,0,2
R807_A,character,492,2
R807_B,character,445,2
R807_C,character,499,2
R807_X,character,58,2
R808,numeric,0,2
R809_A,character,494,2
R809_B,character,465,2
R809_C,character,499,2
R809_D,character,159,2
R809_E,logical,500,1
R810_A,character,172,2
R810_B,character,358,2
R810_C,character,406,2
R810_D,character,466,2
R810_E,character,323,2
R810_F,logical,408,2
R811_A,character,251,2
R811_B,character,417,2
R811_C,character,455,2
R811_D,character,245,2
R811_E,character,438,2
R811_F,logical,488,2
R811_G,character,466,2
R811_H,character,471,2
R811_I,character,493,2
R811_J,character,215,2
R811_K,character,475,2
R811_L,character,477,2
R812,numeric,0,4
R901,numeric,0,2
R902,numeric,0,8
R903,numeric,0,9
R904,numeric,0,11
R905,numeric,0,2
R906,numeric,0,3
R907,numeric,0,2
R908,numeric,0,1
R909,numeric,0,1
R910,numeric,0,1
R911,numeric,0,1
R912,numeric,0,1
R913,numeric,0,1
R914,numeric,0,2
R915,numeric,0,1
R916,numeric,0,2
R1001,numeric,0,2
R1010,numeric,0,2
R1101_A,character,329,2
R1101_B,character,368,2
R1101_C,character,499,2
R1101_D,logical,500,1
R1101_E,character,480,2
R1101_X,character,324,2
R1102,numeric,0,2
R1103,numeric,0,3
R1104,numeric,0,3
R1105,numeric,0,3
R1106,numeric,0,4
R1107_A,character,497,2
R1107_B,character,498,2
R1107_C,character,493,2
R1107_D,character,495,2
R1107_E,character,489,2
R1107_F,logical,499,2
R1107_G,logical,500,1
R1107_H,character,499,2
R1108,numeric,0,5
R1109_A,character,491,2
R1109_B,character,492,2
R1109_C,logical,500,1
R1109_D,logical,500,1
R1109_E,logical,500,1
R1109_X,character,487,2
R1110_A,character,499,2
R1110_B,logical,500,1
R1110_C,logical,500,1
R1110_D,logical,500,1
R1110_E,character,498,2
R1110_F,logical,500,1
R1110_G,character,497,2
R1110_H,logical,500,1
R1110_I,character,493,2
R1201,numeric,0,2
R1202_A,character,493,2
R1202_B,character,491,2
R1202_C,character,499,2
R1202_D,logical,500,1
R1202_E,character,498,2
R1202_F,logical,500,1
R1202_G,logical,500,1
R1203,numeric,0,9
R1204_A,character,494,2
R1204_B,character,493,2
R1204_C,logical,500,1
R1204_D,logical,500,1
R1204_E,logical,500,1
R1204_X,character,495,2
R1205_A,character,499,2
R1205_B,logical,500,1
R1205_C,logical,500,1
R1205_D,logical,500,1
R1205_E,logical,500,1
R1205_F,logical,500,1
R1205_G,character,499,2
R1205_H,logical,500,1
R1205_I,character,497,2
R1206,numeric,0,5
R1207,numeric,0,5
R1208,numeric,0,30
R1209,numeric,0,4
FWT,numeric,0,472
