"URUT","PSU","SSU","STRATA","WI1","WI2","R101","R102","R105","NUINFORT","R1701","R1702","R1703","R1704","R1705","R1706","R1707","R1708","NUINFORT1","R1801","R1802","R1803","R1804","R1805","R1806A","R1806B","R1807","R1808","R1809A","R1809B","R1809C","R1809D","R1809E","R1810A","R1810B","R1810C","R1811A","R1811B","R1812","R1813A","R1813B","R1813C","R1813D","R1813E","R1814A","R1814B","R1814C","R1815A","R1815B","R1815C","R1816","R1816B1","R1816B2","R1816B3","R1817","R1901A","R1901B","R1901C","R1901D","R1901E","R1901F","R1901G","R1901H","R1901I","R1901J","R1901K","R2001A","R2001B","R2001C","R2001D","R2001E","R2001F","R2001G","R2001H","R2001I","R2001J","R2001K","R2001L","R2001M","R2002_A","R2002_B","R2002_C","R2002_D","R2101A","R2101B","R2101C","R2201A2","R2201A3","R2201B2","R2201B3","R2201C2","R2201C3","R2201D2","R2201D3","R2201E2","R2201E3","R2201F2","R2201F3","R2202","R2203","R2204A","R2204B","R2204C_A","R2204C_B","R2204C_C","R2204C_D","R2204C_E","R2204C_F","R2204C_G","R2204LAIN","R2205A","R2207","R2208A2","R2208B2","R2208BI2","R2208C2","R2208D2","R2208E2_A","R2208E2_B","R2208E2_C","R2208E2_D","R2208E2_E","R2208E2_F","R2208E2_G","R2208E2LAI","R2208A3","R2208B3","R2208BI3","R2208C3","R2208D3","R2208E3_A","R2208E3_B","R2208E3_C","R2208E3_D","R2208E3_E","R2208E3_F","R2208E3_G","R2208E3LAI","R2208A4","R2208B4","R2208BI4","R2208C4","R2208D4","R2208E4_A","R2208E4_B","R2208E4_C","R2208E4_D","R2208E4_E","R2208E4_F","R2208E4_G","R2208E4LAI","R2208A5","R2208B5","R2208BI5","R2208C5","R2208D5","R2208E5_A","R2208E5_B","R2208E5_C","R2208E5_D","R2208E5_E","R2208E5_F","R2208E5_G","R2208E5LAI","R2209A","R2209B","R2209C","R2209D","R2210AA","R2210B1","R2210B2","R2210B3","R2210B4","R2210B5","R2211A","R2211A1","R2211A2","R2211A3","R2211A4","R2211A5","R2211B","R2211B1","R301","R302","R303","R304","R305","FWT"
19952,3502,23454,15022,2000,19952,15,2,2,1,5,5,5,5,5,5,5,5,1,1,1,1,77,5,3,0,1,2,1,1,4,0,0,6,0,2,2,5,5,5,5,1,5,5,6,0,2,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,1,5,5,5,5,1,NA,"B",NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,1,5,5,5,5,5,5,0,0,0,0,0,5,0,4,0,4,3,1,187.315379666338
48024,6305,54329,15031,4802,48024,15,3,1,2,5,5,5,5,5,5,5,5,2,1,1,1,70,5,3,0,1,6,1,1,1,5,7,5,0,2,1,0,5,1,5,5,5,5,5,0,2,1,1,1,1,2,0,0,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,3,0,3,2,1,89.2352544637131
171632,18714,190346,15092,17205,171632,15,9,2,1,5,5,5,5,5,5,5,5,1,1,3,0,20,5,3,0,3,5,1,1,1,10,7,9,0,0,1,0,5,5,5,5,5,5,9,0,0,2,1,1,2,0,0,0,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,NA,NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,2,0,2,2,0,11.7110292765091
13097,2815,15912,15011,1314,13097,15,1,1,2,5,5,5,5,5,5,5,5,2,2,1,1,72,5,3,0,1,6,1,1,1,6,1,3,1,0,1,0,5,5,5,5,5,5,3,1,0,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,5,5,5,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,1,1,1,4,NA,"B",NA,NA,NA,NA,NA,NA,5,1,1,1,200000,1,4,NA,"B",NA,NA,NA,NA,NA,NA,1,1,400000,2,4,"A","B","C",NA,NA,NA,NA,NA,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,200000,1,4,NA,"B",NA,NA,NA,NA,NA,NA,5,5,5,5,1,5,5,5,5,5,5,0,0,0,0,0,5,0,5,0,5,5,1,267.046924588303
99661,11486,111147,15052,9981,99661,15,5,2,2,5,5,5,5,5,5,5,5,2,1,1,1,120,5,2,0,1,2,1,1,1,20,1,5,0,1,1,0,5,5,5,5,5,5,5,0,1,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,1,5,1,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,4,0,4,4,0,320.387921118209
2826,1788,4614,15012,287,2826,15,1,2,2,1,5,5,5,5,5,5,5,2,1,1,5,66,5,3,0,1,6,6,0,0,0,0,2,0,0,2,5,5,5,5,5,5,5,6,0,2,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,5,NA,NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,1,5,5,5,5,5,5,0,0,0,0,0,5,0,4,1,3,2,1,99.6898785791847
128997,14440,143437,15072,12933,128997,15,7,2,1,5,5,5,5,5,5,5,5,1,2,1,1,80,5,3,0,1,6,1,1,1,98,7,2,0,0,2,3,5,5,5,5,5,5,5,0,2,1,1,1,1,1,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,5,5,5,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,4,0,4,4,1,291.189534140709
115807,13128,128935,15062,11622,115807,15,6,2,2,5,5,5,5,5,5,5,5,2,1,1,4,150,5,3,0,3,5,1,1,1,4,7,2,0,0,1,0,5,5,5,5,5,5,4,0,2,1,1,1,1,1,0,0,3,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,1,1,1,5,5,1,1,1,"A",NA,NA,NA,1,1,0,1,1,1,1,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,4,0,4,3,1,87.9685026345403
11110,2599,13709,15012,1098,11110,15,1,2,2,5,5,5,5,5,5,5,5,2,1,1,6,42,5,3,0,1,6,6,0,0,0,0,7,0,8,1,0,5,5,5,5,5,5,7,0,8,2,1,1,2,0,0,0,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,1,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,200000,1,4,"A","B",NA,NA,NA,NA,NA,NA,1,1,200000,1,4,"A","B",NA,NA,NA,NA,NA,NA,1,1,200000,1,4,"A","B",NA,NA,NA,NA,NA,NA,1,1,200000,1,4,"A","B",NA,NA,NA,NA,NA,NA,5,5,5,5,1,5,5,5,5,5,5,0,0,0,0,0,5,0,2,0,2,2,1,58.7232174637246
43186,5825,49011,15032,4322,43186,15,3,2,2,1,5,5,5,5,5,5,5,2,1,1,6,50,5,3,0,1,6,6,0,0,0,0,3,1,0,1,0,5,5,5,5,5,5,3,1,0,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,NA,"B",NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,1,17000,5,0,5,5,1,256.307077050644
73497,8882,82379,15041,7378,73497,15,4,1,2,5,5,5,5,5,5,5,5,2,1,1,6,84,5,2,0,3,5,1,1,1,98,7,3,1,0,1,0,5,5,5,5,5,5,3,1,0,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,NA,NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,5,0,5,3,1,317.420416742219
204024,22036,226060,15721,20464,204024,15,72,1,2,5,5,5,5,5,5,5,5,2,1,3,0,98,5,3,0,1,2,2,1,1,20,7,2,0,0,2,10,5,5,5,5,5,5,3,1,0,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,NA,NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,3,1,2,2,1,41.1465350085249
18555,3377,21932,15022,1875,18555,15,2,2,1,5,5,5,5,5,5,5,5,1,1,1,1,225,5,3,0,1,2,1,1,1,10,1,9,0,0,1,0,5,5,5,5,5,5,9,0,0,1,1,1,1,3,0,0,4,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,1,1,5,5,1,5,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,1,5,5,5,5,5,5,0,0,0,0,0,5,0,5,0,5,4,1,194.246544245847
13220,2815,16035,15011,1314,13220,15,1,1,2,5,5,5,5,5,5,5,5,2,2,1,1,54,5,3,0,1,2,1,1,1,10,7,2,0,0,2,4,5,5,5,5,5,5,3,1,0,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,1,1,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,1,5,5,5,5,5,5,0,0,0,0,0,5,0,3,0,3,3,1,208.469663306419
7144,2220,9364,15011,719,7144,15,1,1,1,5,5,5,5,5,5,5,5,1,1,1,6,88,5,3,0,1,5,1,1,1,20,1,9,0,0,1,0,5,5,5,5,5,5,9,0,0,1,1,1,1,1,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,1,5,5,5,5,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,1,5,5,5,5,5,5,0,0,0,0,0,5,0,4,1,3,2,1,12.6288810908127
93417,10864,104281,15052,9359,93417,15,5,2,1,5,5,5,5,5,5,5,5,1,1,1,1,60,5,3,0,1,6,1,1,1,98,7,2,0,0,2,10,5,5,5,5,5,5,10,0,0,3,0,0,1,1,0,0,4,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,1,5,5,5,5,1,"A",NA,NA,NA,1,3,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,4,0,4,4,1,300.880102870181
186192,20264,206456,15711,18693,186192,15,71,1,2,5,5,5,5,5,5,5,5,2,1,1,1,70,5,3,0,1,6,1,1,1,10,7,3,1,0,1,0,5,5,5,5,5,5,3,1,0,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,1,5,5,5,5,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,5,5,5,5,5,5,5,0,0,0,0,0,5,0,4,0,4,4,1,253.56357903506
11886,2683,14569,15012,1182,11886,15,1,2,2,5,5,5,5,5,5,5,5,2,1,3,0,36,5,3,0,1,5,6,0,0,0,0,3,1,0,1,0,5,5,5,5,5,5,3,1,0,4,0,0,1,1,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,1,"A","B",NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,1,5,5,5,5,5,5,0,0,0,0,0,5,0,3,0,3,2,1,148.698561320695
193756,20998,214754,15711,19427,193756,15,71,1,1,5,5,5,5,5,5,5,5,1,1,3,0,60,5,3,0,1,6,1,1,1,98,8,2,0,0,2,10,5,5,5,5,5,5,3,1,0,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,NA,NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,200000,1,2,"A",NA,NA,NA,NA,NA,NA,NA,1,1,200000,1,2,"A",NA,NA,NA,NA,NA,NA,NA,1,1,200000,1,2,"A",NA,NA,NA,NA,NA,NA,NA,1,1,200000,1,2,"A",NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,2,0,2,2,1,165.76804417807
92379,10760,103139,15052,9255,92379,15,5,2,1,5,5,5,5,5,5,5,5,1,1,1,1,77,5,2,0,1,2,1,1,1,12,7,4,0,2,1,0,5,5,5,5,5,5,4,0,2,1,1,1,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,1,5,5,5,5,1,"A","B",NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,2,0,2,2,1,58.9394239382066
47444,6246,53690,15032,4743,47444,15,3,2,2,1,5,5,5,5,5,5,5,2,1,1,2,42,5,3,0,3,6,1,1,1,9,7,6,0,2,2,3,5,5,5,5,5,5,6,0,2,1,1,5,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,1,NA,"B",NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,200000,1,1,"A",NA,NA,NA,NA,NA,NA,NA,1,1,200000,1,1,"A",NA,NA,NA,NA,NA,NA,NA,1,1,200000,1,1,"A",NA,NA,NA,NA,NA,NA,NA,1,1,200000,1,1,"A",NA,NA,NA,NA,NA,NA,NA,5,5,1,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,2,0,2,2,1,160.753485463828
89448,10491,99939,15052,8986,89448,15,5,2,2,5,5,5,5,5,5,5,5,2,1,1,1,56,5,3,0,3,7,1,1,1,98,7,4,0,2,1,0,5,5,5,5,5,5,5,0,2,3,0,0,1,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,1,"A",NA,NA,NA,1,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,4,0,4,3,1,174.37502829189
46484,6161,52645,15032,4658,46484,15,3,2,2,5,5,5,5,5,5,5,5,2,1,1,5,84,5,3,0,1,2,1,1,1,8,7,5,0,2,1,0,5,5,5,5,5,5,5,0,2,1,1,1,1,3,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,1,"A",NA,NA,NA,1,1,0,1,1,1,2,1,1,1,1,5,0,5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,4,0,4,2,1,7.80017666908951
