column,type,n_missing,n_unique
URUT,numeric,0,500
PSU,numeric,0,363
SSU,numeric,0,500
STRATA,numeric,0,21
WI1,numeric,0,363
WI2,numeric,0,500
R101,numeric,0,1
R102,numeric,0,11
R105,numeric,0,2
NUINFORT,numeric,0,5
R1701,numeric,0,3
R1702,numeric,0,3
R1703,numeric,0,4
R1704,numeric,0,3
R1705,numeric,0,3
R1706,numeric,0,4
R1707,numeric,0,4
R1708,numeric,0,3
NUINFORT1,numeric,0,5
R1801,numeric,0,5
R1802,numeric,0,4
R1803,numeric,0,7
R1804,numeric,0,91
R1805,numeric,0,2
R1806A,numeric,0,6
R1806B,numeric,0,4
R1807,numeric,0,5
R1808,numeric,0,8
R1809A,numeric,0,4
R1809B,numeric,0,5
R1809C,numeric,0,7
R1809D,numeric,0,32
R1809E,numeric,0,8
R1810A,numeric,0,10
R1810B,numeric,0,5
R1810C,numeric,0,4
R1811A,numeric,0,2
R1811B,numeric,0,18
R1812,numeric,0,3
R1813A,numeric,0,2
R1813B,numeric,0,2
R1813C,numeric,0,2
R1813D,numeric,0,1
R1813E,numeric,0,2
R1814A,numeric,0,8
R1814B,numeric,0,5
R1814C,numeric,0,4
R1815A,numeric,0,4
R1815B,numeric,0,3
R1815C,numeric,0,3
R1816,numeric,0,3
R1816B1,numeric,0,4
R1816B2,numeric,0,4
R1816B3,numeric,0,1
R1817,numeric,0,9
R1901A,numeric,0,2
R1901B,numeric,0,2
R1901C,numeric,0,1
R1901D,numeric,0,2
R1901E,numeric,0,2
R1901F,numeric,0,1
R1901G,numeric,0,2
R1901H,numeric,0,1
R1901I,numeric,0,2
R1901J,numeric,0,2
R1901K,numeric,0,2
R2001A,numeric,0,2
R2001B,numeric,0,2
R2001C,numeric,0,2
R2001D,numeric,0,2
R2001E,numeric,0,2
R2001F,numeric,0,2
R2001G,numeric,0,2
R2001H,numeric,0,2
R2001I,numeric,0,2
R2001J,numeric,0,2
R2001K,numeric,0,2
R2001L,numeric,0,2
R2001M,numeric,0,2
R2002_A,character,116,2
R2002_B,character,462,2
R2002_C,logical,500,1
R2002_D,character,493,2
R2101A,numeric,0,4
R2101B,numeric,0,4
R2101C,numeric,0,5
R2201A2,numeric,0,2
R2201A3,numeric,0,4
R2201B2,numeric,0,2
R2201B3,numeric,0,3
R2201C2,numeric,0,2
R2201C3,numeric,0,4
R2201D2,numeric,0,2
R2201D3,numeric,0,3
R2201E2,numeric,0,2
R2201E3,numeric,0,3
R2201F2,numeric,0,2
R2201F3,numeric,0,2
R2202,numeric,0,3
R2203,numeric,0,2
R2204A,numeric,0,4
R2204B,numeric,0,5
R2204C_A,character,460,2
R2204C_B,character,484,2
R2204C_C,character,497,2
R2204C_D,character,498,2
R2204C_E,character,472,2
R2204C_F,logical,498,2
R2204C_G,logical,500,1
R2204LAIN,logical,500,1
R2205A,numeric,0,2
R2207,numeric,0,2
R2208A2,numeric,0,3
R2208B2,numeric,0,3
R2208BI2,numeric,0,6
R2208C2,numeric,0,3
R2208D2,numeric,0,5
R2208E2_A,character,458,2
R2208E2_B,character,493,2
R2208E2_C,character,496,2
R2208E2_D,character,498,2
R2208E2_E,character,494,2
R2208E2_F,logical,498,2
R2208E2_G,logical,500,1
R2208E2LAI,logical,500,1
R2208A3,numeric,0,3
R2208B3,numeric,0,2
R2208BI3,numeric,0,5
R2208C3,numeric,0,4
R2208D3,numeric,0,5
R2208E3_A,character,468,2
R2208E3_B,character,492,2
R2208E3_C,character,496,2
R2208E3_D,character,498,2
R2208E3_E,character,494,2
R2208E3_F,logical,498,2
R2208E3_G,logical,500,1
R2208E3LAI,logical,500,1
R2208A4,numeric,0,3
R2208B4,numeric,0,2
R2208BI4,numeric,0,5
R2208C4,numeric,0,4
R2208D4,numeric,0,5
R2208E4_A,character,476,2
R2208E4_B,character,494,2
R2208E4_C,character,499,2
R2208E4_D,character,499,2
R2208E4_E,character,494,2
R2208E4_F,logical,499,2
R2208E4_G,logical,500,1
R2208E4LAI,logical,500,1
R2208A5,numeric,0,3
R2208B5,numeric,0,2
R2208BI5,numeric,0,4
R2208C5,numeric,0,3
R2208D5,numeric,0,5
R2208E5_A,character,474,2
R2208E5_B,character,494,2
R2208E5_C,character,499,2
R2208E5_D,character,499,2
R2208E5_E,character,495,2
R2208E5_F,logical,499,2
R2208E5_G,logical,500,1
R2208E5LAI,logical,500,1
R2209A,numeric,0,2
R2209B,numeric,0,1
R2209C,numeric,0,2
R2209D,numeric,0,2
R2210AA,numeric,0,2
R2210B1,numeric,0,2
R2210B2,numeric,0,2
R2210B3,numeric,0,2
R2210B4,numeric,0,2
R2210B5,numeric,0,1
R2211A,numeric,0,2
R2211A1,numeric,0,5
R2211A2,numeric,0,5
R2211A3,numeric,0,2
R2211A4,numeric,0,1
R2211A5,numeric,0,2
R2211B,numeric,0,2
R2211B1,numeric,0,18
R301,numeric,0,9
R302,numeric,0,4
R303,numeric,0,9
R304,numeric,0,8
R305,numeric,0,3
FWT,numeric,0,488
