"Data_Method","Algorithm","Accuracy","Balanced_Accuracy","Sensitivity","Specificity"
"ROSE","ExtraTrees",67.32,75.07,90.27,59.87
"ClassWeight_Original","CatBoost",66.81,75.03,91.15,58.91
"ROSE","Random Forest",68.55,74.98,87.61,62.36
"Under-Sampling","ExtraTrees",66.88,74.68,89.97,59.39
"Under-Sampling","CatBoost",66.09,74.65,91.45,57.85
"ROSE","CatBoost",68.11,74.5,87.02,61.97
"Over-Sampling","CatBoost",68.04,74.35,86.73,61.97
"ROSE","XGBoost",68.55,73.19,82.3,64.08
"Under-Sampling","Random Forest",66.96,73.03,84.96,61.11
"ClassWeight_Original","XGBoost",68.4,72.2,79.65,64.75
"Over-Sampling","ExtraTrees",68.4,71.7,78.17,65.23
"Under-Sampling","XGBoost",66.09,71.16,81.12,61.21
"Over-Sampling","XGBoost",68.84,69.7,71.39,68.01
"Over-Sampling","Random Forest",69.34,66.85,61.95,71.74
"ClassWeight_Original","Random Forest",72.81,58.79,31.27,86.3
"ClassWeight_Original","ExtraTrees",73.83,56.67,23.01,90.33
