"Threshold","Accuracy","Balanced_Accuracy","Sensitivity","Specificity"
0.1,55.531453362256,69.8487776760587,97.9351032448378,41.7624521072797
0.11,56.6883586406363,70.5154612959007,97.6401179941003,43.3908045977011
0.12,58.2067968185105,71.4216085172753,97.3451327433628,45.4980842911877
0.13,59.2190889370933,71.9925066965043,97.0501474926254,46.9348659003831
0.14,59.8698481561822,72.4235411792629,97.0501474926254,47.7969348659004
0.15,60.3036876355748,72.5116976909775,96.4601769911504,48.5632183908046
0.16,61.0267534345625,72.9906248940427,96.4601769911504,49.5210727969349
0.17,61.4605929139552,73.1783813108195,96.165191740413,50.1915708812261
0.18,61.7498192335503,73.3699521920456,96.165191740413,50.5747126436782
0.19,62.5451916124367,73.8967721154172,96.165191740413,51.6283524904215
0.2,62.6898047722343,73.7933577459058,95.575221238938,52.0114942528736
0.21,62.9790310918293,73.8853287220696,95.2802359882006,52.4904214559387
0.22,63.5574837310195,74.1688705794595,94.9852507374631,53.3524904214559
0.23,63.9913232104121,74.3566269962364,94.6902654867257,54.0229885057471
0.24,64.0636297903109,74.3049198114807,94.3952802359882,54.2145593869732
0.25,64.352856109906,74.4964906927067,94.3952802359882,54.5977011494253
0.26,64.5697758496023,74.5405689485641,94.1002949852507,54.9808429118774
0.27,64.8590021691974,74.7321398297901,94.1002949852507,55.3639846743295
0.28,65.0036153289949,74.8279252704031,94.1002949852507,55.5555555555556
0.29,65.0759219088937,74.8758179907097,94.1002949852507,55.6513409961686
0.3,65.0759219088937,74.8758179907097,94.1002949852507,55.6513409961686
0.31,65.1482284887925,74.9237107110162,94.1002949852507,55.7471264367816
0.32,65.1482284887925,74.9237107110162,94.1002949852507,55.7471264367816
0.33,65.2205350686912,74.9716034313227,94.1002949852507,55.8429118773946
0.34,65.2205350686912,74.9716034313227,94.1002949852507,55.8429118773946
0.35,65.4374548083876,75.1152815922422,94.1002949852507,56.1302681992337
0.36,65.3651482284888,74.9677889668735,93.8053097345133,56.1302681992337
0.37,65.3651482284888,74.9677889668735,93.8053097345133,56.1302681992337
0.38,65.5097613882863,75.0635744074865,93.8053097345133,56.3218390804598
0.39,65.8712942877802,75.3030380090191,93.8053097345133,56.8007662835249
0.4,65.8712942877802,75.3030380090191,93.8053097345133,56.8007662835249
0.41,65.943600867679,75.3509307293256,93.8053097345133,56.8965517241379
0.42,66.0882140274765,75.4467161699386,93.8053097345133,57.088122605364
0.43,66.0159074475777,75.2992235445699,93.5103244837758,57.088122605364
0.44,66.0882140274765,75.3471162648764,93.5103244837758,57.183908045977
0.45,66.3051337671728,75.490794425796,93.5103244837758,57.4712643678161
0.46,66.3774403470716,75.5386871461025,93.5103244837758,57.5670498084291
0.47,66.4497469269703,75.4869799613468,93.2153392330383,57.7586206896552
0.48,66.3051337671728,74.9927949004849,92.0353982300885,57.9501915708812
0.49,66.6666666666667,75.1326585969552,91.740412979351,58.5249042145594
0.5,67.0281995661605,75.2725222934256,91.4454277286136,59.0996168582375
0.51,67.2451193058568,74.918200929034,89.9705014749263,59.8659003831418
0.52,67.3897324656544,74.8147865595226,89.3805309734513,60.2490421455939
0.53,67.8958785249458,74.9508357915438,88.7905604719764,61.1111111111111
0.54,67.8958785249458,74.5524361712949,87.6106194690265,61.4942528735632
0.55,68.6189443239335,74.5333638490489,86.1356932153392,62.9310344827586
0.56,69.2697035430224,74.6655986166209,85.2507374631269,64.0804597701149
0.57,69.8481561822126,74.4511409486997,83.4808259587021,65.4214559386973
0.58,70.0650759219089,73.3000203438104,79.646017699115,66.9540229885057
0.59,70.4266088214028,72.4438849896586,76.401179941003,68.4865900383142
0.6,70.7881417208966,71.8865493506934,74.0412979351032,69.7318007662835
0.61,70.9327548806941,71.1855355508087,71.6814159292035,70.6896551724138
0.62,71.4389009399855,70.6243854473943,69.0265486725664,72.2222222222222
0.63,71.0050614605929,68.8430305496219,64.6017699115044,73.0842911877395
0.64,71.0050614605929,67.2494320686265,59.882005899705,74.6168582375479
0.65,71.2219812002892,66.0983114637372,56.047197640118,76.1494252873563
0.66,70.9327548806941,64.1139422913912,50.7374631268437,77.4904214559387
0.67,71.3665943600868,62.8077001322348,46.0176991150442,79.5977011494253
0.68,73.0296456977585,63.0128335537246,43.3628318584071,82.6628352490421
0.69,74.1865509761388,62.9823178381311,41.0029498525074,84.9616858237548
0.7,74.5480838756327,61.9269826738548,37.1681415929204,86.6858237547893
0.71,74.9819233550253,60.9195402298851,33.3333333333333,88.5057471264368
0.72,74.8373101952278,59.1305564032143,28.3185840707965,89.9425287356322
0.73,74.765003615329,57.4890652019123,23.598820058997,91.3793103448276
0.74,75.4880694143167,56.0755942087953,17.9941002949853,94.1570881226054
0.75,76.1388286334056,55.3114298308073,14.4542772861357,96.1685823754789
0.76,76.2834417932032,54.2120164106737,10.9144542772861,97.5095785440613
0.77,76.1388286334056,53.1202319194385,7.9646017699115,98.2758620689655
0.78,75.8496023138106,52.0322618926525,5.30973451327434,98.7547892720306
0.79,75.704989154013,51.2392771166039,3.24483775811209,99.2337164750958
0.8,75.5603759942155,50.745092055742,2.06489675516224,99.4252873563218
0.81,75.4157628344179,50.1513070898179,0.589970501474926,99.7126436781609
0.82,75.4157628344179,49.9521072796935,0,99.904214559387
0.83,75.4157628344179,49.9521072796935,0,99.904214559387
0.84,75.4880694143167,50,0,100
0.85,75.4880694143167,50,0,100
0.86,75.4880694143167,50,0,100
0.87,75.4880694143167,50,0,100
0.88,75.4880694143167,50,0,100
0.89,75.4880694143167,50,0,100
0.9,75.4880694143167,50,0,100
